OGC_FID,GEOMETRY,id,name,beschr,datierung,quelle,bz,ez,klassen,typ,lageq,zs1,zs2,zs3,zs4,bewertung,chronocode,texte,plan,ag,nuts3,nuts0,nr_ag,x,y
446,,,"Halberstadt, Klusberge/Die Klus","Felsplateau, keine Angaben zur Befestigung",SHA/FLT,"Peschel 1999, Nr. 12",0,3,,,1,0.000000,0.000000,3.000000,0.000000,1,,,,1,,,1,641125.745134,5756912.785988
447,,,"Ballenstedt, Kleiner Gegenstein",,SHA/FLT,"Peschel 1999, Nr. 3",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,656699.638499,5738361.530656
448,,,"Untermhaus, Hainberg/Schloß Osterstein",,eher SHA als FLT,"Peschel 1999, Nr. 36",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,718079.100585,5627053.998663
449,,,"Oettern, Otternburg",,SHA/FLT,"Peschel 1999, Nr. 24",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,666318.807930,5638505.390844
450,,,"Hetschburg, Heidingsburg",,SHA/FLT,"Peschel 1999, Nr. 15",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,662883.390276,5635757.056720
451,,,"Questenberg, Die Queste",,SHA/FLT-MLT,"Peschel 1999, Nr. 28",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,650515.886722,5706526.660395
452,,,"Niedersachswerfen, Kohnsteinkopf",,SHA/FLT,"Peschel 1999, Nr. 21",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,620971.294896,5717978.052575
453,,,"Haynrode, Hasenburg",,SHA/FLT,"Peschel 1999, Nr. 14",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,600358.788972,5709045.966674
454,,,"Hainrode, Webelsburg",,SHA,"Peschel 1999, Nr. 11",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,617535.877242,5701259.019992
455,,,"Schnellmannshausen, hüneburg am Heldrastein",,SHA/FLT,"Peschel 1999, Nr. 33",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,585758.263942,5663412.168836
456,,,"Lauchröden, Brandenburg",,SHA/FLT,"Peschel 1999, Nr. 18",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,582265.589327,5650300.324789
457,,,"Beichlingen, Monraburg",,eher SHA als FLT,"Peschel 1999, Nr. 4",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,661337.452332,5676008.700234
458,,,"Schallenburg, Schallenburg",,SHA,"Peschel 1999, Nr. 32",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,645076.475436,5666389.530803
459,,,"Ranis, Burgberg",,SHA-FLT,"Peschel 1999, Nr. 29",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,684984.577184,5608044.687644
460,,,"Obernitz, Gleitsch",,SHA/FLT-MLT,"Peschel 1999, Nr. 22",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,672044.504021,5603922.186459
461,,,"Steinroda, Dohlenstein",,SHA(∕FLT),"Peschel 1999, Nr. 34",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,685557.146793,5623160.525322
462,,,"Graitschen bei Bürgel, Alter Gleisberg",,FLT-MLT,"Peschel 1999, Nr. 10",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,693916.663085,5641940.808498
463,,,"Kühren/Burkartshain-Oelschütz, Sonnenmühlwall",,"UK und Lt Funde, eher jüngere Latènezeit","Jockenhövel u. Simon 1999, Nr. 11",2,2,,,1,0.000000,2.000000,2.000000,1.000000,2,,,,1,,,1,763196.467421,5684813.101102
464,,,"Meißen, Burgberg",,"Ha A-HaD2/3/Lt A, Lt D","Jockenhövel u. Simon 1999, Nr. 4",3,3,,,1,0.000000,3.000000,3.000000,3.000000,3,,,,1,,,1,815575.513512,5674035.996486
465,,,"Riesa-Poppitz, Burgberg",,"Ha A- Ha C, überwiegend Ha D-Lt A","Jockenhövel u. Simon 1999, Nr. 7",2,3,,,1,0.000000,2.000000,3.000000,0.000000,3,,,,1,,,1,800394.860773,5690723.126214
466,,,"Oschatz-Rosenthal, Schwedenschanze",,"Ha D/Lt A, wenig UK bis Ha C","Jockenhövel u. Simon 1999, Nr. 10",2,3,,,1,0.000000,2.000000,3.000000,0.000000,3,,,,1,,,1,788806.576240,5691881.954667
467,,,"Elsnig, Kesselberg",,Ha B-Ha C(Ha D/Lt A),"Jockenhövel u. Simon 1999, Nr. 8",3,2,,,1,0.000000,3.000000,2.000000,0.000000,3,,,,1,,,1,772817.907304,5726250.559018
468,,,"Dohna, Burgber/Schlossberg",,"Bz A2-B, Ha B1, Ha B3, wenig Ha D-Lt A","Jockenhövel u. Simon 1999, Nr. 2",3,1,,,1,3.000000,3.000000,1.000000,0.000000,3,,,,1,,,1,844498.611115,5654892.736405
469,,,"Poschendorf-Wlatersdorf, Lilienstein",,"BZ-Lt, nur UK gesichert","Jockenhövel u. Simon 1999, Nr. 1",3,2,,,1,1.000000,3.000000,1.000000,0.000000,3,,,,1,,,1,859174.841515,5656367.109442
487,,,Wodzisko,,Periode V / Ha C,"Malinowski 1954, Nr. 32; Harding 2004, o. Nr. ",0,3,Lausitzer Burg,,1,0.000000,1.000000,1.000000,0.000000,2,,,,1,,,1,1088494.848971,5814308.369626
486,,,Kownaty,,Periode V / Ha C,"Malinowski 1954, Nr. 11; Harding 2004, o. Nr. ",0,3,Lausitzer Burg,,1,0.000000,1.000000,1.000000,0.000000,2,,,,1,,,1,1117542.366051,5856851.414552
485,,,Wilczyn,,Periode V / Ha C,"Malinowski 1954, Nr. 31; Harding 2004, o. Nr. ",0,3,Lausitzer Burg,,1,0.000000,1.000000,1.000000,0.000000,2,,,,1,,,1,1135279.345506,5856337.299206
484,,,Kopiec,,Periode V / Ha C,"Malinowski 1954, Br, 10; Harding 2004, o. Nr. ",0,3,Lausitzer Burg,,1,0.000000,1.000000,1.000000,0.000000,2,,,,1,,,1,1060861.149094,5892582.431137
483,,,unverivizierte Anlage ohne nähere Angaben,,Periode V / Ha C,"Harding 2004, o. Nr. ",0,3,Lausitzer Burg,,1,0.000000,1.000000,1.000000,0.000000,1,,,,1,,,1,1120627.058130,5879601.018637
482,,,Szarlej,,Periode V / Ha C,"Malinowski 1954, Nr. 27; Harding 2004, o. Nr. ",0,3,Lausitzer Burg,,1,0.000000,1.000000,1.000000,0.000000,2,,,,1,,,1,1124354.394392,5883328.354899
481,,,Stodolno,,Periode V / Ha C,"Malinowski 1954, Nr, 26; Harding 2004, o. Nr. ",0,3,Lausitzer Burg,,1,0.000000,1.000000,1.000000,0.000000,2,,,,1,,,1,1115228.846991,5881657.480023
480,,,Kołuda Wielka,,Periode V / Ha C,"Malinowski 1954, Nr. 8; Harding 2004, o. Nr. ",0,3,Lausitzer Burg,,1,0.000000,1.000000,1.000000,0.000000,2,,,,1,,,1,1118570.596744,5886670.104652
479,,,unverivizierte Anlage ohne nähere Angaben,,Periode V / Ha C,"Harding 2004, o. Nr. ",0,3,Lausitzer Burg,,1,0.000000,1.000000,1.000000,0.000000,1,,,,1,,,1,1079369.301569,5877158.970741
478,,,unverivizierte Anlage ohne nähere Angaben,,Periode V / Ha C,"Harding 2004, o. Nr. ",0,3,Lausitzer Burg,,1,0.000000,1.000000,1.000000,0.000000,1,,,,1,,,1,1069215.523475,5833073.579774
477,,,Radzim,,Periode V / Ha C,"Malinowski 1954, Nr. 22; Harding 2004, o. Nr. ",0,3,Lausitzer Burg,,1,0.000000,1.000000,1.000000,0.000000,2,,,,1,,,1,1038497.131519,5874845.451681
476,,,Dakowy Mokre,,Periode V / Ha C,"Malinowski 1954, Nr. 3; Harding 2004, o. Nr. ",0,3,Lausitzer Burg,,1,0.000000,1.000000,1.000000,0.000000,2,,,,1,,,1,1028343.353425,5843998.530889
475,,,Pawłowice,,Periode V / Ha C,"Malinowski 1954, Nr. 17; Harding 2004, o. Nr. ",0,3,Lausitzer Burg,,1,0.000000,1.000000,1.000000,0.000000,2,,,,1,,,1,1038111.545009,5859293.462448
474,,,Ostroróg,,Periode V / Ha C,"Malinowski 1954, Nr. 15; Harding 2004, o. Nr. ",0,3,Lausitzer Burg,,1,0.000000,1.000000,1.000000,0.000000,2,,,,1,,,1,1002509.057261,5856465.828042
473,,10,Świetne,,Periode V / Ha C,"Harding 2004, Nr. 10",0,3,Lausitzer Burg,,1,0.000000,3.000000,1.000000,0.000000,3,,,,1,,,1,1114971.789318,5854537.895493
472,,9,Ostrowite Trzemeszeńskie,,Periode V / Ha C,"Harding 2004, Nr. 9",0,3,Lausitzer Burg,,1,0.000000,3.000000,1.000000,0.000000,3,,,,1,,,1,1101347.732634,5857879.645245
471,,14,Bnin,,Periode V / Ha C,"Harding 2004, Nr. 14; Malinowski 1954, Nr. 2",0,3,Lausitzer Burg,,1,0.000000,3.000000,1.000000,0.000000,3,,,,1,,,1,1051350.015183,5818292.763561
470,,2,Objezierze,,Periode V / Ha C,"Harding 2004, Nr. 2",0,3,Lausitzer Burg,,1,0.000000,3.000000,1.000000,0.000000,3,,,,1,,,1,1023973.372979,5857237.001062
